Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
Isobar Public Sector	https://www.crunchbase.com/organization/isobar-public-sector		Apps, Cloud Computing, Cloud Infrastructure	https://federal.isobar.com	Chicago, Illinois, United States	Isobar Public Sector specializes in application design and implementation, secure cloud solutions, strategy, and program management.	1,152,292													Greater Chicago Area, Great Lakes, Midwestern US	Active				11-50							
AREScms	https://www.crunchbase.com/organization/arescms	AREScms develops a cloud-based, compliant customer management system solution to help Medicare Advantage providers acquire and retain enrollees. The solution offers integrated health plan marketing, compliance, and enrollment for health plan executives.	Cloud Infrastructure, Compliance, Management Information Systems, Productivity Tools, Software	http://www.arescms.com	Vancouver, Washington, United States	AREScms develops a cloud-based, federally compliant customer management system solution.	1,156,248													West Coast, Western US	Active	2013-01-01	year						27600.0	USD	27600.0	
recasta	https://www.crunchbase.com/organization/recasta	We create an open AIoT data ecosystem that encourages data sharing and vendor integration, while being independent of any single vendor and being data sovereignty compliant. recasta - connect, access & collaborate across your data, share data points and build AI together. The most powerful free forever IoT cloud.	Artificial Intelligence, Cloud Infrastructure, Data Visualization, Developer APIs, Internet of Things, SaaS	https://recasta.cloud	Seattle, Washington, United States	recasta.cloud encourages innovation with unlimited data sharing to bring ideas to life	1,158,433													Greater Seattle Area, West Coast, Western US	Closed	2021-03-04	day		1-10							
The Fischer Group	https://www.crunchbase.com/organization/the-fischer-group		Cloud Infrastructure, IT Management, Network Hardware, Software	https://fischergroup.net/	Campbell, California, United States	The Fischer Group engages in cloud computing, networking, VoIP, IT management and maintenance services.	1,160,802													San Francisco Bay Area, Silicon Valley, West Coast	Active				1-10							
Artisan Infrastructure	https://www.crunchbase.com/organization/artisan-infrastructure		Cloud Infrastructure, Cloud Management, Information Technology, Software	https://www.artisaninfrastructure.com/	Austin, Texas, United States	Artisan Infrastructure specializes in cloud infrastructure, cloud management, business continuity management and software.	1,161,299													Southern US	Active	2010-01-01	year		101-250							
Konnect Up Solutions	https://www.crunchbase.com/organization/konnect-up-solutions	Konnect Up Solutions is dedicated to finding the best cloud and telecom solutions to fit your business needs and lower your operational costs. By partnering with vendors, some of the best in the industry, they are driving innovation and improving business processes. The Konnect Up solutions division is your agnostic, IT partner.	Cloud Infrastructure, Consulting, Cyber Security, Information Technology, Telecommunications	https://www.konnectupsolutions.com	Cedar Park, Texas, United States	Konnect Up Solutions is a professional technology and consulting company helping businesses with technology challenges.	1,163,435													Southern US	Active	2017-01-01	year		11-50							
Trinity	https://www.crunchbase.com/organization/trinity-0ae4	Trinity target vertical's as  packaged solutions for customers who do not have access to the wherewithal to design, build, deploy, & maintain such a solution themselves.It is a data as a service platform, portal, & AI technology delivering hosted cloud solutions.	Cloud Infrastructure, Cloud Management, Data Integration	https://trinityidc.com	El Dorado Hills, California, United States	Trinity is Data provides service platform solutions.	1,163,961													West Coast, Western US	Active	2018-01-01	year		1-10							
NodeSocket	https://www.crunchbase.com/organization/nodesocket	NodeSocket builds and operates web software and service products.	Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Developer Tools, IaaS, IT Management, PaaS, SaaS, Software	https://nodesocket.com	Nashville, Tennessee, United States	NodeSocket builds and operates web software and service products.	1,164,314													Southern US	Active	2010-10-01	month	1.0	1-10	Justin Keller						
Supplemental Software	https://www.crunchbase.com/organization/supplemental-software		Analytics, Cloud Infrastructure, Consulting, Enterprise Software, Information Technology, Software	https://suppsoftware.com/	Greensboro, North Carolina, United States	Supplemental Software provides ERP software with integration, consulting, accounting, IoT, analytics and other services.	1,167,810													East Coast, Southern US	Active	2009-01-01	year		11-50							
Cool Minds	https://www.crunchbase.com/organization/cool-minds		Business Intelligence, Cloud Infrastructure, Web Apps	https://www.cool-minds.com	Iselin, New Jersey, United States	Cool Minds offers business intelligence, cloud solutions, web-based customized application development, portals and collaboration services.	1,168,150													Greater New York Area, East Coast, Northeastern US	Active	2007-01-01	year		1-10							
Computer Showcase	https://www.crunchbase.com/organization/computer-showcase		Cloud Infrastructure, IT Management, Network Security	https://www.computershowcase.com/	Bethesda, Maryland, United States	Computer Showcase is an IT consulting firm that delivers comprehensive solutions as per the requirements for small and mid-sized companies.	1,172,545													Washington DC Metro Area, East Coast, Southern US	Active	1990-01-01	year	1.0	1-10	Mark Whisenhunt			100471.0	USD	100471.0	
WebFacility	https://www.crunchbase.com/organization/webfacility		Cloud Infrastructure, Internet, Web Hosting	https://www.webfacility.com	Huntington Beach, California, United States	WebFacility delivers web hosting, cloud computing, security and IT managed services.	1,175,756													Greater Los Angeles Area, West Coast, Western US	Active	2004-01-01	year		11-50							
Globalize Networks	https://www.crunchbase.com/organization/globalize-networks		Cloud Infrastructure, Information Technology, IT Infrastructure	https://www.globalizenetworks.com	Oakland, California, United States	Globalize Networks provides installation of IT infrastructure, cloud migration, virtualization and backup services.	1,178,719													San Francisco Bay Area, West Coast, Western US	Active	2005-01-01	year	1.0	1-10	Scott Jackisch			38579.0	USD	38579.0	
WhatUpBridge	https://www.crunchbase.com/organization/whatupbridge	WhatUpBridge is a free service that lets you track bridges, rail road crossings, and other infrastructure according to your schedule and notifies you when they may affect your commute.	Cloud Infrastructure, Communications Infrastructure, Infrastructure	http://www.WhatUpBridge.co	Miami, Florida, United States	Free Infrastructure tracking service	1,181,875													Greater Miami Area, East Coast, Southern US	Active	2011-11-01	day	1.0	1-10	Allyn Alford						
BlackRock IT	https://www.crunchbase.com/organization/blackrock-it		Cloud Infrastructure, Information Technology, Network Security	https://blkrockit.com	White Plains, New York, United States	BlackRock IT offers expertise in networking, server administration, disaster recovery, cloud, procurement, telephony, and training services.	1,187,724													Greater New York Area, East Coast, Northeastern US	Active				11-50							
NuWeb IT Solutions	https://www.crunchbase.com/organization/nuweb-it-solutions	NuWeb IT Solutions is a technologically enabled service provider. They provide their clients with immediate assistance and state-of-the-art solutions to all their IT needs. They have invested and continue to invest significant resources to keep up to date on the most advanced technologies. They build websites rich in HTML and WordPress content.	Cloud Infrastructure, IT Infrastructure, IT Management, Software, Web Design	https://www.nuwebit.com/	Miami, Florida, United States	NuWeb IT Solutions is a technologically enabled service provider.	1,188,309													Greater Miami Area, East Coast, Southern US	Active				11-50							
Silverline Solutions	https://www.crunchbase.com/organization/silverline-solutions		Cloud Data Services, Cloud Infrastructure, Information Services, Information Technology, Software	https://www.silverlinesolutions.com/	Winterville, North Carolina, United States	Silverline Solutions provides business and IT consulting, cloud services, and software solutions.	1,192,056													East Coast, Southern US	Active	2004-01-01	day		51-100				111670.0	USD	111670.0	https://www.silverlinesolutions.com/privacy/
TSC	https://www.crunchbase.com/organization/tsc-1fa9	TSC provides advanced monitoring systems to protect assets. They provide a wide and flexible range of full-life cycle capabilities to help state and local governments manage IT resources for making IT work. They integrate their solutions into the client’s existing operating environment.	Cloud Infrastructure, Cloud Security, Consulting, Information Technology, IT Infrastructure, Security	https://tscharleston.com	North Charleston, South Carolina, United States	TSC provides access control, infrastructure wiring, site security, video surveillance, and consulting services.	1,196,400													East Coast, Southern US	Active				11-50							
Corporate Value Metrics	https://www.crunchbase.com/organization/corporate-value-metrics		Cloud Infrastructure, Management Consulting	https://www.corporatevalue.net/	Westborough, Massachusetts, United States	Corporate Value Metrics is a cloud base consulting company.	1,197,603													East Coast, New England, Northeastern US	Active			1.0	1-10	Ken Sanginario						
The Band	https://www.crunchbase.com/organization/the-band		Cloud Infrastructure, Digital Media, Media and Entertainment, Music	http://www.thebandinc.com	Denver, Colorado, United States	The Band is an interactive media agency.	1,201,852													Greater Denver Area, Western US	Active	2006-01-01	year	2.0	1-10	David Rudnick, Pat Ivers						
Trenchant	https://www.crunchbase.com/organization/trenchant	Trenchant's brief list of the basic technology bases they cover: • IT support • Scheduled on-site • Remote helpdesk • Dispatch • Engineering • Office moves • E-mail migrations • Network upgrades • That thing you just thought of • IT operations • Vendor management • Asset management • IT management • CIO-level technical vision. Personalized agreements enable customers to get exactly what they want - great value. For workstations, mobile devices, and servers, customers have unlimited access to telephone and email support. Customers can access our support articles with tips and tricks and how-to guides for fast self-service. The status of service requests, types of issues, and usage of the Help Desk are reported every quarter. The vast majority of issues can be resolved remotely. All of our other services are available at reduced rates normally reserved for law enforcement and friends.	Cloud Infrastructure, Information Technology, Internet, IT Management, Security	https://trenchant.co/	Los Angeles, California, United States	Trechant is an IT and services firm offering corporate technology, IT support, scheduled on-sites, and remote support services.	1,208,024													Greater Los Angeles Area, West Coast, Western US	Active				1-10							
Running Robots	https://www.crunchbase.com/organization/running-robots		Cloud Infrastructure, Digital Marketing, Web Design	https://runningrobots.com/	Iowa City, Iowa, United States	Running Robots is a full-service cloud technology company focused on digital marketing solutions that provide results for their clients.	1,215,110													Midwestern US	Active	2012-01-01	year		1-10							https://runningrobots.com/how-to-create-a-privacy-policy-for-your-website/
iSymplify	https://www.crunchbase.com/organization/isymplify		Cloud Infrastructure, Consulting, Information Technology, IT Infrastructure, Telecommunications	https://www.isymplify.com/	St. Charles, Missouri, United States	iSymplify is an IT company that specializes in IT sourcing, consulting, networking and cloud communication.	1,220,336													Midwestern US	Active	2008-01-01	year		1-10				325957.0	USD	325957.0	https://www.isymplify.com/privacy-policy/
Cloudbeach	https://www.crunchbase.com/organization/cloudbeach	Cloudbeach was created to help companies leverage cloud services. They offer solutions like secure digital workspaces and IT managed services to offer organizations.	Cloud Computing, Cloud Infrastructure, Cloud Management	https://cloudbeach.com	Miami, Florida, United States	Cloudbeach provides cloud solutions.	1,222,045													Greater Miami Area, East Coast, Southern US	Active	2018-01-01	year		1-10							
ValueForge	https://www.crunchbase.com/organization/valueforge		Cloud Infrastructure, Information Technology, IT Infrastructure	https://www.valueforge.com	Murrysville, Pennsylvania, United States	ValueForge is a cloud services provider company that offers cloud IT infrastructures for small and large businesses.	1,224,766													Great Lakes, Northeastern US	Active											
Cognitive IT	https://www.crunchbase.com/organization/cognitive-it		Cloud Infrastructure, Consulting, Hardware, Information Technology, Software	https://cog-it.com/	Virginia Beach, Virginia, United States	Cognitive IT is a provider of IT services and solutions.	1,227,748													East Coast, Southern US	Active											
Cloudplace	https://www.crunchbase.com/organization/cloudplace	Cloudplace is an online commerce platform. The brokerage of cloud services is a role and business model that allows xSPs or enterprises to add value to customers of cloud services through aggregation, integration, and customization. It also allows n-cloud services to be managed and accessed.	Cloud Data Services, Cloud Infrastructure, Enterprise	https://cloud-place.com	Palo Alto, California, United States	Cloudplace is a cloud service brokerage platform.	1,236,213													San Francisco Bay Area, Silicon Valley, West Coast	Active				1-10							https://www.cloud-place.com/privacy-policy/
Decillio Solutions	https://www.crunchbase.com/organization/decillio-solutions	Decillio, established by industry veterans coming together, focuses on two major themes – cloud and startups. These two themes arise from the experience of the founders and our belief that these two areas are undergoing major tectonic shifts creating massive opportunities across the ecosystem. For startups, we work with the founding and core teams. We become the technology partner who can convert their business ideas into reality. We build the right design and lead implementation to build a scalable, efficient and cost-effective technology stack behind world-class products. We have been on the other side of the table and have worked with hypergrowth startups that have scaled to become unicorns. Therefore, our understanding and capabilities in building scalable solutions is unparalleled. We can help with: 1. Product Ideation 2. Product Architecture Design  3. Product Engineering and Development We also have built strong capabilities in cloud – Infrastructure, Application and Peripheral Services. We can advise and build a multi-cloud strategy for your product roadmap. We can be the handholding partner in your cloud journey, from planning to executing the migration seamlessly. We can design and implement the right architecture to ensure high performance at optimum costs even at the highest concurrent loads. We can additionally work with you on setting up the right governance, security measures and disaster recovery planning to ensure that the system performs on availability. We are building Decillio to be the most result oriented technology consulting company on earth built on values of trust, committment and performance.	Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, IT Infrastructure, Product Design, Software	http://www.decillio.com/	Somerset, New Jersey, United States	Focus on Cloud Advisory and Implementation as well as Product Engineering for Startups.	1,238,895													Greater New York Area, East Coast, Northeastern US	Active	2020-05-01	day		1-10							
Milletech Datasoft Systems	https://www.crunchbase.com/organization/milletech-datasoft-systems		Cloud Infrastructure, Enterprise Resource Planning (ERP), Software	https://www.milletechinc.com	Alpharetta, Georgia, United States	Milletech has been providing Business Intelligence, ERP implementation, upgrade, and maintenance services for close to a decade.	1,242,450													Greater Atlanta Area, East Coast, Southern US	Active	2000-01-01	year		51-100				51045.0	USD	51045.0	
Vimcom	https://www.crunchbase.com/organization/vimcom		Cloud Computing, Cloud Infrastructure, IT Infrastructure, IT Management, Linux	https://vimcom.io/	Miami, Florida, United States	Miami based startup offering DevOps and Cloud Engineering consultancy services and staff augmentation	1,243,403													Greater Miami Area, East Coast, Southern US	Closed	2017-11-13	day	1.0	1-10	Daniel Acevedo						
EinsteinDB	https://www.crunchbase.com/organization/einsteindb	Business Permitting Apache 2.0 OSS k8 native Distributed SQL via EinsteinDB, MilevaDB, and VioletaBFT(Multi-Raft Consensus) via Ansible, K8s, and Docker; Embedded Databases such as EinsteinDB are inspired by AllegroGraph, graphD, and BerkeleyDB. EinsteinDB processes millions of rows per every 39 milliseconds via pub-sub interlocking directorate semaphores, guaranteeing low-latency, read-intensive Hashings for High Throughput RNA next-gen sequencing, Exotic Metamaterial Difussion modeling of Monte Carlo distributions; Online Multi-player Physics, Container Orchestration, and Distributed Tracing across multi-dimensional buckets. EinsteinDB calls itself  'the world's first relativistic linearizable database', providing an append-log with directed caching inside PostgresQL Meta-stores offering JIT SQLite hexdumps. EinsteinDB introduces supercolumnar 'key-value causets' in the form of prolog, which are Time-travel queries with ACID immutable caches.	Analytics, Business Intelligence, Cloud Infrastructure, Cloud Storage, Data Mining, Database, Predictive Analytics, Software	https://arpanetwhtcorps.com	Lewes, Delaware, United States	Hybrid HTAP with embedded OLAP and persistent OLTP for High Throughput, Causal Consistent, and Relativistic Linearizable Atomic Databases.	1,248,655													East Coast, Southern US	Active	2019-12-25	day	1.0		Karl Whitford Pollard						
My Tech Team	https://www.crunchbase.com/organization/my-tech-team	My Tech Team is a veteran-owned, U.S. based IT support and cyber security service provider. Our primary mission is delivering enterprise-level IT support and protection specifically designed to meet the needs and budgets of small businesses and micro enterprises. We accomplish this by combining technical skills, experience and tools with the high level of personalized, relationship-focused service that you deserve and demand. We’re a small team of IT experts providing you with your very own IT department.	Business Information Systems, Cloud Infrastructure, Cyber Security, IT Management, Technical Support	https://www.mytechteam.net	Edwards, California, United States	U.S. based, affordable, enterprise-level IT support, cybersecurity, and managed services for small businesses	1,260,360													West Coast, Western US	Closed	2008-08-08	day		1-10							https://www.mytechteam.net/privacy/
Effex	https://www.crunchbase.com/organization/effex-b19e		Cloud Data Services, Cloud Infrastructure, Consumer Applications, Consumer Software, Software Engineering	https://www.effex.io/	Windermere, Florida, United States	Effex is a software engineering firm that focuses on cloud services, web application development, database services, and saas development.	1,261,886													East Coast, Southern US	Active											https://www.effex.io/privacy-policy/
Middleware Management Partners	https://www.crunchbase.com/organization/middleware-management-partners		Cloud Computing, Cloud Infrastructure, Internet of Things, IT Infrastructure	http://www.mmpcgroup.com	Carlsbad, California, United States	Middleware Management Partners is a consulting firm that provides integration solutions, process improvements and cloud computing services.	1,263,103													Greater San Diego Area, West Coast, Western US	Active	2007-01-01	year		1-10							
One-Desktop	https://www.crunchbase.com/organization/one-desktop		Cloud Computing, Cloud Infrastructure, Cloud Management, Software	http://www.one-desktop.net	Madison, Wisconsin, United States	One-Desktop provides DAAS and cloud hosting services to industries.	1,275,282													Great Lakes, Midwestern US	Active				1-10							
Varsity	https://www.crunchbase.com/organization/varsity-bd1e	Varsity is an IT outsourcing company that offers cybersecurity, consulting, managed cloud infrastructure, and mobile apps services.	Cloud Infrastructure, Cloud Management, Cyber Security, IT Management, Mobile Apps	https://www.varsitytech.com	San Francisco, California, United States	Varsity is an IT outsourcing company.	1,275,128													San Francisco Bay Area, West Coast, Western US	Active	1997-01-01	year		11-50							https://www.varsitytech.com/privacy-policy/
Dynamic Network Advisors	https://www.crunchbase.com/organization/dynamic-network-advisors		Cloud Infrastructure, Cloud Security, Cyber Security, Health Care, Information Technology, Network Security, Telecommunications, Wireless	https://www.dynamicnetworkadvisors.com	Aliso Viejo, California, United States	Dynamic Network Advisors offers consulting and sourcing solutions for communications, cloud, and cybersecurity for healthcare organizations.	1,275,951													Greater Los Angeles Area, West Coast, Western US	Active	2007-01-01	year		1-10							
CongoCloud	https://www.crunchbase.com/organization/congocloud	CongoCloud provides consulting, migration, and optimization services for AWS. AWS is the most comprehensive and widely used cloud platform. CongoCloud is focused on delivering the expertise, resources, and strategic vision needed to transform cloud infrastructure and business.	Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Storage, Consulting	https://www.congocloudit.com	Aliso Viejo, California, United States	CongoCloud is a provider of consulting, cloud optimization, and cloud migration services.	1,285,782													Greater Los Angeles Area, West Coast, Western US	Active				11-50							
Drizzle Consulting	https://www.crunchbase.com/organization/drizzle-consulting		Cloud Infrastructure, Consulting, Information Technology, IT Infrastructure	https://www.drizzleconsulting.com/	Plano, Texas, United States	Drizzle Consulting is an IT company that specializes in cloud migration, network infrastructure, and technical assistance.	1,289,944													Dallas/Fort Worth Metroplex, Southern US	Active	2016-01-01	year		1-10							
Matrix Ingenuity	https://www.crunchbase.com/organization/matrix-ingenuity		Cloud Infrastructure, Information Technology, IT Infrastructure	https://www.matrixingenuity.com/	Ellicott City, Maryland, United States	Matrix Ingenuity specializes in cloud infrastructure, mobility, information security and assurance services.	1,300,567													Greater Baltimore-Maryland Area, East Coast, Southern US	Active	2003-01-01	year		51-100							
Cloudquest Technologies	https://www.crunchbase.com/organization/cloudquest-technologies		Cloud Data Services, Cloud Infrastructure, Information Technology, Software, Staffing Agency	https://www.cloudquesttech.com	Bloomington, Indiana, United States	Cloudquest Technologies is a cloud-based software designed to help small businesses.	1,302,983													Great Lakes, Midwestern US	Active				51-100							https://www.cloudquesttech.com/files/Privacy-policy.pdf
ClemTech	https://www.crunchbase.com/organization/clemtech		Cloud Infrastructure, Cloud Security, Information Technology	https://www.clemtechllc.com	Carlsbad, California, United States	ClemTech is an IT company that provides cloud security, network infrastructure, migration, and industrial automation services.	1,304,828													Greater San Diego Area, West Coast, Western US	Active	2013-01-01	year		1-10							
Disruption Consulting	https://www.crunchbase.com/organization/disruption-consulting		Cloud Infrastructure, Consulting, Information Technology, Network Security, Software	https://www.disruption.consulting	Vista, California, United States	Disruption Consulting educates, develops & implements complete solutions in cutting edge technologies that help build the client's business.	1,306,107													Greater San Diego Area, West Coast, Western US	Active	2015-01-01	year		11-50				56549.0	USD	56549.0	
Tel-Affinity	https://www.crunchbase.com/organization/tel-affinity		Cloud Infrastructure, Cyber Security, Internet of Things, Telecommunications, VoIP	https://www.tel-affinity.com	Needham, Massachusetts, United States	Tel-Affinity is a telecommunication company that offers VoIP, cybersecurity, the internet of things, and cloud infrastructure services.	1,308,569													Greater Boston Area, East Coast, New England	Active	1991-01-01	year									
Five Nines Online	https://www.crunchbase.com/organization/five-nines-online	Five Nines Online manages and builds cloud infrastructures for enterprise applications. By leveraging AWS, Azure & Google's service portfolio, their certified cloud engineers bring unprecedented agility and efficiency to your organization. Large-scale, publicly accessible applications require more security than ever. Cost-efficient infrastructure tailored to your specific applications ensures consistent performance and exceptional user experience.	Cloud Computing, Cloud Infrastructure, Security, Software	https://fiveninesonline.com/	Flushing, New York, United States	Five Nines Online builds and manages cloud infrastructures for enterprise applications.	1,313,989													Greater New York Area, East Coast, Northeastern US	Active				11-50							
0-Downtime	https://www.crunchbase.com/organization/0-downtime	0-Downtime helps businesses solve difficult challenges with the cloud. They provide a mobile commerce platform. They also act as an online freelance agency.	Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management	https://www.0-downtime.com	Plainsboro, New Jersey, United States	0-Downtime supports businesses throughout the Cloud adoption process.	1,314,350													Greater New York Area, East Coast, Northeastern US	Active				1-10							https://www.0-downtime.com/privacy-policy/
Optogy Technology Services	https://www.crunchbase.com/organization/optogy-technology-services		Cloud Infrastructure, Information Technology, VoIP	https://www.optogy.com/	Mesa, Arizona, United States	Optogy Technology Services is an IT firm that offers VoIP, access control systems, networking, video surveillance & consulting services.	1,316,941													Greater Phoenix Area, Western US	Active	2005-01-01	year		1-10							
XenoNode	https://www.crunchbase.com/organization/xenonode	XenoNode is a provider of cloud infrastructure services.	Cloud Computing, Cloud Infrastructure, Information Technology, Internet	https://www.xenonode.com	Claymont, Delaware, United States	A cloud computing and storage provider based upon the ideals of affordability, sustainability, and business continuity.	1,317,733													Greater Philadelphia Area, East Coast, Southern US	Active	2016-12-26	day	1.0	1-10	Jayson Fong						
VedRock	https://www.crunchbase.com/organization/vedrock		Cloud Infrastructure, Consulting, Information Technology	https://www.vedrock.com/	Sunnyvale, California, United States	VedRock is an information technology consulting firm providing services such as data engineering and cloud technology digital workplace.	1,323,141													San Francisco Bay Area, Silicon Valley, West Coast	Active	2017-01-01	year		1-10							
SRQ Cloud	https://www.crunchbase.com/organization/srq-cloud	SRQ Cloud provides website design, AWS cloud, creative content, and SEO solutions. They provide businesses establish an online presence that makes customers satisfied. The customer contact through email, phone number, and application form.	Cloud Computing, Cloud Data Services, Cloud Infrastructure, SEO, Web Design	https://srq.cloud	River Ranch, Florida, United States	SRQ Cloud provides cloud computing services for businesses.	1,326,411													East Coast, Southern US	Active	2016-01-01	year		1-10							
Ecosuite	https://www.crunchbase.com/organization/ecosuite		Cloud Data Services, Cloud Infrastructure, Computer, Developer Platform, Software	https://www.ecosuite.com	Delray Beach, Florida, United States	EcoSuite is the developer of the next-generation cloud-based enterprise platform for communication, collaboration, and social platform.	1,328,476													Greater Miami Area, East Coast, Southern US	Active	2001-01-01	year		1-10				77158.0	USD	77158.0	https://www.ecosuite.com/terms-of-service/
Sherpa Systems	https://www.crunchbase.com/organization/sherpa-systems-7dd6		Apps, Cloud Infrastructure, Digital Signage	https://www.sherpaconsultants.io	Milpitas, California, United States	Sherpa Systems is an application development company that provides cloud infrastructure, data signage, and dashboard visuals services.	1,327,662													San Francisco Bay Area, Silicon Valley, West Coast	Active											
Schweiss Technology Solutions	https://www.crunchbase.com/organization/schweiss-technology-solutions		Cloud Infrastructure, Computer, Network Hardware	https://www.schweiss.net	Ballwin, Missouri, United States	Schweiss Technology Solutions provides cloud migration, PC repair, and networking services.	1,331,180													Midwestern US	Active											
PhoneCall	https://www.crunchbase.com/organization/phonecall	PhoneCall is a fully managed, highly scalable Contact Center solution in the cloud. They believe that managing contacts and calls should be simple. That hardware and software deployments should not hinder the growth of your business. That tools should be intelligent and intuitive to use.	Call Center, Cloud Infrastructure, Information Technology	https://www.phone-call.com	Chazy, New York, United States	PhoneCall is a fully managed, highly scalable Contact Center solution in the cloud.	1,331,910													East Coast, Northeastern US	Active	2015-01-01	year		1-10							
KloudSign	https://www.crunchbase.com/organization/kloudsign	KloudSign is an IT free enterprise content management and display platform that combines leading-edge, smart device technology with an innovative content management system providing a global, scalable solution for real-time management and updates to enterprise digital content broadcasts.With KloudSign, marketing teams can quickly and easily manage & update enterprise display content without IT involvement.	Cloud Infrastructure, SaaS	http://www.mykloudsign.com/	Philadelphia, Pennsylvania, United States	KloudSign helps you connect with your audience through interactive and engaging content, without the burden of expensive and complicated.	1,337,223													Greater Philadelphia Area, Great Lakes, Northeastern US	Active	2013-01-01	year	3.0	1-10	James Coates, Michael Gratale, Shahzad Khokhar						https://www.mykloudsign.com/privacy-policy
Areshay	https://www.crunchbase.com/organization/areshay		Cloud Computing, Cloud Infrastructure, Flash Storage	http://areshay.com	Culver City, California, United States	Areshay brings all of your cloud storage together. Securely access and share any of your personal or work documents.	1,337,766													Greater Los Angeles Area, West Coast, Western US	Closed				501-1000							
Adkins Technologies	https://www.crunchbase.com/organization/adkins-technologies		Cloud Infrastructure, Consulting, IT Management	http://adkinstech.com	Denver, Colorado, United States	Adkins Technologies delivers consulting, managed, recovery and cloud solutions and services to help turn technology waste into an advantage.	1,339,598													Greater Denver Area, Western US	Active				1-10				13994.0	USD	13994.0	
XRM Solutions	https://www.crunchbase.com/organization/xrm-solutions		Cloud Infrastructure, Human Resources, Software	https://www.xrmsolutions.com	Ann Arbor, Michigan, United States	XRM Solutions is a technology company that develops digital platforms to optimize workforce management for organizations.	1,342,557													Great Lakes, Midwestern US	Active				11-50							
Cloud EPA	https://www.crunchbase.com/organization/cloud-epa		Cloud Infrastructure, Consulting, Information Technology	https://www.cloudepa.com/	Huntingdon Valley, Pennsylvania, United States	Cloud EPA works on AEM implementation and specializes in cloud computing, websphere portal, google apps/appengine, and microsoft azure.	1,343,891													Greater Philadelphia Area, Great Lakes, Northeastern US	Active	2010-01-01	year		11-50							
Menark	https://www.crunchbase.com/organization/menark-technologies		Cloud Infrastructure, Consulting, Cyber Security, Information Technology, Network Security	https://www.menark.com/	Williamstown, New Jersey, United States	Menark is an IT company that provides cloud solutions, cybersecurity, compliance, technical assistance and strategic consulting services.	1,346,282													Greater Philadelphia Area, East Coast, Northeastern US	Active	2003-01-01	year		1-10							
Lumturio	https://www.crunchbase.com/organization/lumturio	Lumturio offers agencies powerful and reliable tools to monitor CMS security. As such, their platforms empowers you to quickly and efficiently monitor all your clients’ websites, allowing you to proactively update them and keep them safe.	Cloud Infrastructure, Security, Software, Web Development	https://lumturio.com/	New York, New York, United States	A platform capable of managing CMS versions and updates proactively and easily	1,357,348													Greater New York Area, East Coast, Northeastern US	Active	2015-01-01	year	2.0	1-10	Murielle Marie Ungricht, Sam Hermans						https://lumturio.com/privacy
Trunx	https://www.crunchbase.com/organization/trunx	Trunx allows users to Take photos, videos, and EchoPix™ – photos that record sound – and save them directly to private accounts in the cloud. No device storage necessary. Photos are automatically organized by date and time, and stored in one secure location. Users can View each day at a glance on a Timeline that includes a whole life story with the Calendar, or they can use Tags to sort your memories your way.	Cloud Infrastructure, iOS, Location Based Services, Mobile, Mobile Apps, Photo Editing, Photo Sharing, Software, Video	http://trunx.me/	San Francisco, California, United States	Trunx is a photo app that lets users snap, organize and store forever.	1,362,375													San Francisco Bay Area, West Coast, Western US	Closed	2013-01-01	year	1.0	11-50	Jeff Chen						
Mid Atlantic Systems	https://www.crunchbase.com/organization/mas-bd87		Cloud Infrastructure, Data Storage, IT Management, Network Security	https://www.mascc.com	Odenton, Maryland, United States	Mid Atlantic Systems delivers IT infrastructure, network monitoring, data management, technology consulting and cloud migration services.	1,361,852													Greater Baltimore-Maryland Area, East Coast, Southern US	Active	1987-01-01	year									
Syntiro Networks	https://www.crunchbase.com/organization/syntiro-networks		Cloud Infrastructure, Consulting, Network Security	https://syntiro.com	Moorpark, California, United States	Syntiro Networks provides cost-effective IT consulting and solutions to medium-sized businesses.	1,365,497													Greater Los Angeles Area, West Coast, Western US	Active											
Engage	https://www.crunchbase.com/organization/engage-7a85		Cloud Infrastructure, Cloud Management, CRM, Information Technology	https://www.engage2day.com	Atlanta, Georgia, United States	Engage is an IT firm that offers cloud management, integration, infrastructure and advise, IT consulting, and CRM.	1,370,040													Greater Atlanta Area, East Coast, Southern US	Active				11-50							
