Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
IBO,https://www.crunchbase.com/organization/ibo-e961,1991-01-01,day,11-50,,http://www.ibo.sk,"Productivity Tools, Retail","Trencin, Trencin, Slovakia (Slovak Republic)","IBO is a retail firm that sells garden equipment, tools, hunting badges, falconry, fishing badges, and produces carpentry lumber.","393,801","117,443","107,624",-15.7%,-30.09%,388,3.53,15.88%,44.28%,-21.6%,"492,078","68,359",16.13%
Quality Tools & Services,https://www.crunchbase.com/organization/quality-tools-services,1991-01-01,year,11-50,"Quality Tools & Services is a provider of material support, customer service, and cutting-edge innovation to the metalworking industry. They offer tool management solutions, productivity programs, technical support, procurement, and integration services.",https://www.qtstools.com,"Industrial, Productivity Tools, Technical Support, Training","Hammond, Louisiana, United States",Quality Tools & Services is an industrial metalworking distributor.,"470,805","1,624",,,,0,1,,100%,,"5,980,835",,
DIJET,https://www.crunchbase.com/organization/dijet,1991-01-01,year,,,http://dijetusa.com,"Manufacturing, Mechanical Design, Productivity Tools","Plymouth, Michigan, United States","DIJET supplies metal cutting tools, die and carbide wear parts.","791,211",,,,,,,,,,,,
Nichols Fleet Equipment,https://www.crunchbase.com/organization/nichols-fleet-equipment,1991-01-01,year,11-50,,https://www.nicholsfleet.com/,"Automotive, Manufacturing, Mechanical Engineering, Productivity Tools, Transportation","Chattanooga, Tennessee, United States","Nichols Fleet Equipment manufactures trucks, aerial lifts, cranes, equipment, and spare parts for various sectors.","884,194","9,265",,226%,,339,1.69,68.69%,31.31%,-68.69%,"2,328,841","-2,000,458",-46.21%
Pro Tools Now,https://www.crunchbase.com/organization/pro-tools-now,1991-01-01,year,1-10,Pro Tools Now creates breakthrough innovations used by Professionals WORLDWIDE. In their formative years they have created niche products that established exciting new product categories. Their highly profitable product line are the flagship instruments of these product categories. They possess the capacity to accomplish similar feats at larger scale and now sit ready to do so.     They are available for investments partners to to participate in their growth.,http://protoolsnow.com/,Productivity Tools,"Littleton, Colorado, United States",Pro Tools Now creates breakthrough innovations used by Professionals WORLDWIDE. In formative years they have created niche products.,"991,932","1,213",,,,"1,659",6,,0%,,"6,760,193",,
Synergy Tooling Systems,https://www.crunchbase.com/organization/synergy-tooling-systems,1991-01-01,year,101-250,,https://www.synergytsi.com,"Industrial, Manufacturing, Productivity Tools, Technical Support, Training","Amherst, New York, United States","Synergy Tooling Systems manufactures specialty tooling systems, laser-produced cutting dies, package design, and technical support services.","1,080,806",,,,,,,,,,,,
Aerial Acoustics,https://www.crunchbase.com/organization/aerial-acoustics,1991-01-01,year,,"Aerial Acoustics is a trade and development company. Their Loudspeakers are designed, engineered and assembled in the USA to bring fine music reproduction into your home since 1991.",https://aerialacoustics.com/,"Audio, Business Development, Music, Productivity Tools, Software, Video","Lawrence, Massachusetts, United States","Aerial Acoustics operates as a loudspeaker systems that are designed, engineered and assembled.","1,107,564",,,,,,,,,,,,
Industrial Technology Systems,https://www.crunchbase.com/organization/industrial-technology-systems,1991-01-01,year,51-100,,https://www.its-ltd.co.uk,"Cyber Security, Productivity Tools","Middlesbrough, Middlesbrough, United Kingdom","Industrial Technology Systems is an IT firm that offers process control, management systems, and project management services","1,126,566",,,,,,,,,,,,
Stitch It International,https://www.crunchbase.com/organization/stitch-it-international,1991-01-01,year,11-50,,https://stitchitintl.com/,"Industrial, Manufacturing, Productivity Tools, Textiles","Patton, Missouri, United States","Stitch It International offers a wide range of embroidery equipment, heat transfers, and digital printers along with financing services.","1,157,973","8,980","17,247.67",-32.55%,3.88%,107,4,50.55%,55.56%,-19.77%,"2,367,086","519,350",28.11%
Venus 2000 Impex,https://www.crunchbase.com/organization/venus-2000-impex,1991-01-01,day,1-10,,http://www.venus2000.ro,"Lighting, Productivity Tools, Transportation","Bucharest, Bucuresti, Romania","Venus 2000 Impex provides cables for transportation, lie detector equipment, forensic research tools and lighting systems.","1,269,743",,,,,,,,,,,,
Gassmann,https://www.crunchbase.com/organization/gassmann,1991-01-01,day,11-50,,http://www.gassmann-gmbh.eu,"Hardware, Home Renovation, Productivity Tools","Heilbad Heiligenstadt, Thuringen, Germany","Gassmann specializes in pipe and hose connection technology and offers fastening clamps, connecting elements, lubrication, and accessories.","1,391,741",520,,348.28%,,0,1,0%,100%,0%,"8,134,610","-1,902,928",-18.96%
ARIAQ Institute,https://www.crunchbase.com/organization/ariaq-institute,1991-01-01,year,1-10,"ARIAQ offers courses that are particularly appreciated by companies wishing to follow high-quality training that is close to the practical concerns of employees. ARIAQ courses provide an opportunity to learn about quality concepts as well as new strategies for verifying product conformance. ""TQ0, TQ1, TQ2, TQ3, and TQ4"" offer quality-related training based on the participants' duties. ARIAQ has a modern infrastructure, constantly updated instructional resources, and, most importantly, a team of highly motivated, experienced facilitators, all of whom have more than 10 years of practical experience in medium-sized businesses or international organizations.",http://www.ariaq.ch,"Education, Productivity Tools, Quality Assurance, Risk Management, Training","Yverdon-les-bains, Vaud, Switzerland","ARIAQ provides six sigma, lean management and other quality training services.","1,400,273","1,214",,,,66,2.7,,15.07%,,"6,758,683",,
Saloteam,https://www.crunchbase.com/organization/saloteam,1991-01-01,year,11-50,,https://saloteam.fi,"Industrial Design, Industrial Engineering, Manufacturing, Productivity Tools","Salo, Western Finland, Finland","Saloteam is a contract manufacturing company that provides CNC machining, tools, and equipment solutions for various industries.","1,449,293",,,,,,,,,,,,
Industrial Tooling,https://www.crunchbase.com/organization/industrial-tooling,1991-01-01,year,51-100,"Industrial Tooling's state-of-the-art production facility includes CNC grinding machines from world-leading manufacturers, including Walter, Schneeberger, Deckel, Rollomatic, and Anca. The source and stock the available products from around the world and hold over 100,000 HSS Co and solid carbide tools on the shelf ready for immediate despatch. ITC can also provide a fast modification service, even on the same day in some cases.",https://www.itc-ltd.co.uk,"Building Material, Machinery Manufacturing, Manufacturing, Productivity Tools, Supply Chain Management, Technical Support","Tamworth, Staffordshire, United Kingdom",Industrial Tooling is a tooling supplier.,"1,614,279",,,,,,,,,,,,
Data Group Europe BV,https://www.crunchbase.com/organization/data-group-europe-bv,1991-01-01,year,11-50,,https://dgebv.nl,"Hardware, Information Technology, Machinery Manufacturing, Manufacturing, Productivity Tools","Nieuwerkerk, Zuid-Holland, The Netherlands","Data Group Europe produces hardware tools for construction industry, gardens, manufacturing and animal industry.","1,634,387",502,,,,0,1,,100%,,"8,175,806",,
Veskom,https://www.crunchbase.com/organization/veskom,1991-01-01,day,11-50,,https://www.veskom.cz/,"Industrial, Mechanical Engineering, Productivity Tools","Praha, Hlavni mesto Praha, Czech Republic","Veskom is a compressors, cooling and heat pumps company.","1,681,432","3,738",,-85.51%,0%,6,1.45,1.2%,55.16%,-3.02%,"3,861,030","2,588,836",203.49%
Integra Machine Tool,https://www.crunchbase.com/organization/integra-machine-tool,1991-01-01,year,11-50,"Integra Machine Tool distributes machine tools. The company offers services such as application engineering, machine service and repair, installation and start-up, and in-plant and classroom training. They can provide preventive maintenance programs to keep their machine tools their also provide machine alignments and laser calibration to assure their production.",https://www.integramt.com,"Industrial, Industrial Engineering, Manufacturing, Productivity Tools","Waukesha, Wisconsin, United States",Integra Machine Tool provides machine tool distribution services.,"1,717,203",,,,,,,,,,,,
Microsoft Danmark,https://www.crunchbase.com/organization/microsoft-danmark,1991-01-01,day,251-500,,http://www.microsoft.dk,"Consumer Applications, Productivity Tools, Software","Kongens Lyngby, Hovedstaden, Denmark","Microsoft is a technology giant known for designing open source operating system, Windows.","1,748,564",,,,,,,,,,,,
SAVA,https://www.crunchbase.com/organization/sava,1991-01-01,day,1-10,,http://www.savabrno.cz/,"E-Commerce, Productivity Tools, Sales","Lysice, Jihomoravsky kraj, Czech Republic",SAVA is a distributor and seller of carpentry tools.,"1,837,946",,,,,,,,,,,,
Imex,https://www.crunchbase.com/organization/imex-4ff5,1991-01-01,year,11-50,,https://imex.filtertechnika.hu,"Industrial, Manufacturing, Oil and Gas, Productivity Tools","Sopron, Gyor-Moson-Sopron, Hungary","Imex manufactures hydraulics, pneumatics, industrial dust and oil mist separation, process filtering, and engine technology products.","1,928,144",,,,,,,,,,,,
Unicorna,https://www.crunchbase.com/organization/unicorna,1991-01-01,day,1-10,,https://unicorna.hu/,"Bakery, Confectionery, Productivity Tools, Wholesale","Budapest, Budapest, Hungary","Unicorna specializes in the supply of bakery and confectionery tools, accessories and equipment as well as bakery raw materials.","2,023,070",,,,,,,,,,,,
Analytika,https://www.crunchbase.com/organization/analytika-eec4,1991-01-01,day,1-10,,http://www.analytika.gr,"Agriculture, AgTech, Productivity Tools","Thessaloníki, Thessaloniki, Greece","Analytika deals with the sales and maintenance of analysis equipment for industries related to agriculture, forestry, fishery and ecology.","2,034,670",612,"4,582.67",-94.24%,-90.12%,0,1,-35.02%,100%,39.49%,"7,920,088","5,803,330",274.16%
DIS naradi,https://www.crunchbase.com/organization/dis-naradi,1991-01-01,day,1-10,,http://www.disnaradi.com,"Productivity Tools, Wholesale","Prerov, Ustecky kraj, Czech Republic",DIS naradi is a wholesaler of construction tools focusing on tilers.,"2,224,657",,,,,,,,,,,,
RATIO Rumburk,https://www.crunchbase.com/organization/ratio-rumburk,1991-04-01,day,1-10,,http://www.ratiorumburk.cz,"Manufacturing, Productivity Tools, Sales","Rumburk, Liberecky kraj, Czech Republic",RATIO Rumburk specializes in the manufacturing and selling of hand and power tools.,"2,147,123","8,764",,,,874,3.36,,40.93%,,"2,401,523",,
LiveData,https://www.crunchbase.com/organization/livedata,1991-06-01,day,11-50,"LiveData is an innovator of real-time data integration and display technology. Known for reliability and precision, LiveData solutions gather data from any number of computerized sources and present it on rich graphic displays, bringing professional teams the right information at the right time. It develops healthcare IT solutions that focuses on surgical workflows to improve productivity and safety for hospitals and Ambulatory Surgery Centers. The company's product, LiveData PeriOp Manager, is a fully integrated, real-time perioperative system that delivers comprehensive real-time logistics solutions for clinicians to optimize surgical workflows. LiveData was founded on 1991 and is headquartered in Cambridge, Massachusetts.",http://www.livedata.com,"Data Integration, Health Care, Information Technology, Logistics, Productivity Tools, Real Time, Software","Cambridge, Massachusetts, United States",LiveData is an innovator of real-time data integration and display technology for hospitals and health systems.,"195,980",,,,,,,,,,,,
Euro One Számítástechnikai Zrt,https://www.crunchbase.com/organization/euro-one-számítástechnikai-zrt,1991-11-01,day,51-100,,https://www.euroone.hu,"Cloud Data Services, Information Technology, Productivity Tools","Budapest, Budapest, Hungary",EURO ONE develops and provides complex sustainable IT solutions.,"926,690","1,985",,-11.86%,,0,1,-50%,100%,200.03%,"5,085,887","294,740",6.15%
Flex-Tech Hose & Tubing,https://www.crunchbase.com/organization/flex-tech-hose-tubing,1992-01-01,year,101-250,,https://www.flextechhose.com/,"Commercial, Manufacturing, Product Design, Productivity Tools","San Marcos, Texas, United States",Flex-Tech Hose & Tubing is a manufacturing company that specializes in the production of thermoplastic pipes for industrial purposes.,"475,032","1,617",,1.19%,,0,1,-66.67%,100%,,"5,989,042","244,648",4.26%
Ashley Sling,https://www.crunchbase.com/organization/ashley-sling,1992-01-01,year,101-250,,https://ashleysling.com/,"Hardware, Industrial Manufacturing, Manufacturing, Productivity Tools","Austell, Georgia, United States","Ashley Sling is a manufacturer that supplies a wire ropes, rigging hardware, lifting & sling products as well as offer training courses.","549,433","1,830",,-0.05%,-81.5%,0,1,-73.97%,100%,"1,786.79%","5,231,709","111,790",2.18%
Cave Consulting,https://www.crunchbase.com/organization/cave-consulting,1992-01-01,year,1-10,"Since 1992, Cave Consulting has been helping businesses, cities, counties, and schools improve their operations with creative solutions and unconventional technologies.",https://www.caveconsulting.com/,"Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Government, GovTech, Productivity Tools, Software, Web Design","Dallas, Texas, United States",Showing businesses and governments how a digital workplace can improve operations and streamline their processes using the cloud.,"722,777","2,089",,-14.53%,,0,1,0%,100%,0%,"5,007,893","374,026",8.07%
Innovation Network,https://www.crunchbase.com/organization/innovation-network,1992-01-01,year,1-10,,https://www.innonet.org,"Consulting, Non Profit, Productivity Tools","Washington, District of Columbia, United States","Innovation Network is a non-profit organization that provides consultation, research, tools, social justice, and immigration reforms.","833,104",,,,,,,,,,,,
Mepsan,https://www.crunchbase.com/organization/mepsan,1992-01-01,year,251-500,,https://www.mepsan.com.tr,"Industrial Manufacturing, Manufacturing, Oil and Gas, Productivity Tools","Umraniye, Istanbul, Turkey","Mepsan is a manufacturing company that provides ergonomic handling pumps, custom design, electronic cards, and fuel station equipment.","876,647","36,007",,845.07%,,0,1.03,-65.12%,98.73%,59.06%,"1,061,912","-2,754,586",-72.18%
Prism Science Works,https://www.crunchbase.com/organization/prism-science-work,1992-01-01,year,,,http://prismscience.com/,"Consulting, Product Research, Productivity Tools, Technical Support","Andover, Massachusetts, United States","Prism Science Works is a research company that offers technical support, remote destruction, laser applications and diagnostic requirements","981,983",,,,,,,,,,,,
Tromas,https://www.crunchbase.com/organization/tromas,1992-01-01,year,,Tromas provides tools and fastening products to the construction industry.,https://www.tromas.no/,"Building Material, Productivity Tools","Trondheim, Sor-Trondelag, Norway",Tromas provides tools and fastening products to the construction industry.,"1,005,555","59,471",,"1,608.45%",-39.33%,91,2.22,-67.55%,56.96%,61.45%,"773,491","-3,182,931",-80.45%
Air Mac,https://www.crunchbase.com/organization/air-mac,1992-01-01,year,11-50,,https://www.airmac.com,"Industrial, Manufacturing, Productivity Tools","Dallas, Texas, United States","Air Mac supplies, sales, and services of premium air compressors, blowers, and vacuum pumps for industrial pneumatic solutions.","1,006,557",,,,,,,,,,,,
Aisne Plastiques Industrie,https://www.crunchbase.com/organization/aisne-plastiques-industrie,1992-01-01,year,1-10,"Aisne Plastiques Industrie is a manufacture of technical parts from plastic materials. They focus on the production of automobile parts in large series to the mini aeronautical series. They are present in the automotive, aeronautical, electromechanical, medical, and capital goods sectors. They also work on overmolding of inserts on small, and very small series, tooling studies, shunting, thermoforming, and emergency production.",http://www.api.fr,"Industrial, Machinery Manufacturing, Manufacturing, Plastics and Rubber Manufacturing, Productivity Tools","Château-thierry, Picardie, France",Aisne Plastiques Industrie is a manufacturing company.,"1,163,871",,,,,,,,,,,,
Electronic Support Systems,https://www.crunchbase.com/organization/electronic-support-systems,1992-01-01,year,11-50,,https://www.elecsupport.com/,"Electronics, Manufacturing, Network Hardware, Productivity Tools","Bridgeton, Missouri, United States","Electronic Support Systems is a distribution company that supplies critical power, monitoring, enclosures, racks, and IT equipment.","1,192,660","5,460",,271.68%,,0,1,0%,100%,0%,"3,319,538","-2,671,436",-44.59%
Belt-Way Scales,https://www.crunchbase.com/organization/belt-way-scales,1992-01-01,year,11-50,,https://beltwayscales.com/,"Electronics, Manufacturing, Product Design, Productivity Tools","Webb City, Missouri, United States","Belt-Way Scales is a manufacturing company that produces integrators, scoreboards, ticket printers, conveyor belts, and weighing products.","1,235,567",,,,,,,,,,,,
BNT,https://www.crunchbase.com/organization/bnt-aea6,1992-01-01,day,1-10,,http://www.bnt-lda.com,"Industrial Automation, Industrial Engineering, Productivity Tools","São Domingos De Rana, Lisboa, Portugal",BNT offers consulting services and sales of special tools and pumps for a wide range of industries.,"1,249,811",,,,,,,,,,,,
CGH Belgium,https://www.crunchbase.com/organization/cgh-belgium,1992-01-01,year,11-50,"CGH Belgium is fully owned by CGH Polska offering a wide range of compatible products to these high quality storage tanks. CGH Belgium’s downstream petroleum equipment include Tank sumps, Dispenser sumps, Flexible LPG pipes, Pipe entry fittings, Composite street covers, PE crash barriers, Modular manifolds, Fill boxes, and Risbridger tanklid equipment.",https://www.cghbelgium.com,"Hardware, Manufacturing, Productivity Tools","Bornem, Antwerpen, Belgium",CGH Belgium is fully owned by CGH Polska offering a wide range of compatible products to these high quality storage tanks.,"1,300,996",,,,,,,,,,,,
Vekra,https://www.crunchbase.com/organization/vekra,1992-01-01,day,1-10,,http://www.vekra.hr,"Electronics, Productivity Tools, Retail","Sveti Ivan Zelina, Zagrebacka, Croatia","Vekra is a distributor and wholesaler of screws, paints, varnishes, bearings and electrical materials.","1,311,850",,,,,,,,,,,,
Antos,https://www.crunchbase.com/organization/antos-a2c6,1992-01-01,day,1-10,,http://www.antos-trgovina.hr,"Productivity Tools, Retail, Wholesale","Dugo Selo, Zagrebacka, Croatia","Antos is a retailer of agricultural machinery, spare parts and accessories for motor vehicles.","1,436,134","7,146","6,787",34.37%,-20.83%,38,1.43,-7.03%,97.74%,1.37%,"2,754,135","-554,595",-16.76%
Anchor Lamina,https://www.crunchbase.com/organization/anchor-lamina,1992-01-01,year,51-100,,https://en.anchor-lamina.de/,"Delivery, Manufacturing, Productivity Tools","Germany, Georgia, United States","Anchor Lamina is a company that supplies tools, manufacture and machine construction-related standard elements for all kinds of work.","1,477,356","1,622",,,,40,2,,0%,,"3,190,612",,
PSFU,https://www.crunchbase.com/organization/psfu,1992-01-01,day,101-250,,http://www.psfu.de,"Manufacturing, Mechanical Engineering, Productivity Tools","Wernigerode, Sachsen-Anhalt, Germany","PSFU offers grinding technologies, high-precision machining processes, production solutions, and tools.","1,566,472",344,,,,6,3,,0%,,"8,975,600",,
WNB Automation,https://www.crunchbase.com/organization/wnb-automation,1992-01-01,year,1-10,"WNB Automation manufactures and do installation of the automation system. Planning, installation, and photovoltaic systems are commissioning. Installation services are on the construction site.",http://www.wnb-automation.de,"Industrial Automation, Manufacturing, Productivity Tools, Service Industry","Wiesenburg, Brandenburg, Germany",WNB Automation is a production and service company.,"1,843,235",,,,,,,,,,,,
Verisys,https://www.crunchbase.com/organization/verisys-a534,1992-01-01,year,251-500,"Verisys offers healthcare and workforce management organizations data and technology platforms protecting stakeholders. They provide credentialing, directory and data management, pharmaceutical and pharmacy verification and monitoring, workforce background screening and monitoring, referencepro, and FACIS. Their network management solution accelerates onboarding, ensures compliance, and enhances provider touchpoints.",https://verisys.com,"Consulting, Health Care, Productivity Tools, Quality Assurance","Louisville, Kentucky, United States","Verisys provides healthcare and workforce data management for healthcare, life science, and background screening.","1,859,587",,,,,,,,,,,,
Volev,https://www.crunchbase.com/organization/volev,1992-01-01,day,11-50,,http://www.volev.com.ua,"Industrial Manufacturing, Manufacturing, Productivity Tools","Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine","VOLEV is a manufacturing firm that manufactures hydraulic press equipment, press mechanization complexes, and hydraulic units.","1,917,411",418,,12.97%,,0,1,0%,100%,0%,"8,629,507","-185,796",-2.11%
Bisang Informatik,https://www.crunchbase.com/organization/bisang-informatik,1992-01-01,year,1-10,"Bisang Informatik is an individual software solution, on the other hand, optimally takes into account the organizational and technical characteristics and requirements. The standard software usually does not fully meet the specific situations in the company.",https://www.bisang-informatik.ch,"Internet, Productivity Tools, Service Industry, Software","Zurich, Zurich, Switzerland",Bisang Informatik provides software solution.,"1,945,260",,,,,,,,,,,,
Elso Philips,https://www.crunchbase.com/organization/elso-philips,1992-01-01,day,1-10,,http://www.elso.sk,"E-Commerce, Electronics, Productivity Tools","Trencin, Trencin, Slovakia (Slovak Republic)","Elso Philips is an e-shop that provides a wide range of precision measurement solutions for electricity, pressure, temperature, & humidity.","2,020,291","3,725","11,545.5",-59.53%,17.77%,60,1.66,66.39%,61.6%,-38.4%,"3,865,253","1,585,505",69.55%
NM Numerical Modelling,https://www.crunchbase.com/organization/nm-numerical-modelling,1992-01-01,day,1-10,,http://www.nmtec.ch,"Productivity Tools, Simulation","Zug, Zug, Switzerland",NM Numerical Modelling is a computer aided engineering and simulation tools company.,"2,115,305",,,,,,,,,,,,
Härzer,https://www.crunchbase.com/organization/härzer,1992-01-01,year,11-50,,https://www.edv-zubehoer-haerzer.de,"E-Commerce, Information Technology, Productivity Tools, Shopping","Neu-anspach, Hessen, Germany","Harzer offers a wide range of office supplies, toners, printers, IT equipment, presentation board, storage media, and accessories.","2,156,361",,,,,,,,,,,,
Progen,https://www.crunchbase.com/organization/progen,1992-10-01,day,11-50,,https://www.progen.hu,"Business Development, Information Technology, Productivity Tools","Budapest, Budapest, Hungary","PROGEN develops efficient, complex, and operable controlling systems for the informatics of small and medium-sized businesses.","598,184","20,628","7,468.5",110.45%,-51.61%,15,1.08,-16.14%,98.83%,30.3%,"1,491,824","-712,827",-32.33%
Punctual,https://www.crunchbase.com/organization/punctual,1993-01-01,day,1-10,Punctual their application helps their users to optimize resources and be productive.,https://getpunctual.com/,"Construction, Mobile, Productivity Tools, Project Management, Service Industry, Task Management","Phoenix, Arizona, United States",Punctual provides mobile construction management services.,"166,713",,,,,,,,,,,,
Hypersoft Information Systems,https://www.crunchbase.com/organization/hypersoft-information-systems,1993-01-01,year,11-50,"Hypersoft Information Systems is a leading global provider of software for productivity analytics and technology operations. Omnicontext, the company's main product, delivers the most comprehensive information on working time efficiency, productive habits, and collaboration patterns in today's digitized businesses. Omnicontext also measures and monitors how information technology changes work culture and productivity, how technology services are adopted and used, and how well these services perform for their customers. Hypersoft collects the broadest range of data sources to leverage in its analytics platform, including application and device utilization data, communication details, and a wide range of information technology metrics from data centers and cloud platforms such as Microsoft Office 365 and G Suite. Hypersoft solutions are available to both individual professionals and enterprise customers, and can be used as cloud software operated by Hypersoft or as traditional on-premises products. The company's mobile applications can be acquired directly through Microsoft and Google stores. Hypersoft is headquartered in Munich, Germany, with customers, partners, and operations throughout Europe, North and South America, and Asia-Pacific.",https://hypersoft.com,"Analytics, Cloud Data Services, Mobile Apps, Personal Development, Productivity Tools, Software","Munich, Bayern, Germany",Hypersoft produces software for productivity analytics and technology operations for organizations of any size.,"179,321",246,,-82.7%,,47,5,400%,0%,,"9,444,422","3,357,349",55.16%
Aergo Solutions,https://www.crunchbase.com/organization/aergo-solutions,1993-01-01,year,251-500,"Aergo Solutions develops  revenue cycle software and staff productivity software intended for hospitals and health care industries. Aergo Solutions  revenue cycle software and staff productivity software focus on providing analytics for modeling with the help of consultants as well as providing assistance with outsourcing needs, enabling healthcare providers to receive an expected reimbursement with the help of their technology which is accurate and efficient.",https://aergo.com,"Analytics, Consulting, Outsourcing, Productivity Tools, Software","Iselin, New Jersey, United States","Aergo Solutions provides A/R outsourcing, revenue cycle consulting, denials recovery, reporting and analytics software services.","232,713","1,537",,,,492,17,,0%,,"6,116,730",,
Fasteners,https://www.crunchbase.com/organization/fasteners,1993-01-01,year,101-250,,https://www.fastenerslv.com,"E-Commerce, Home and Garden, Manufacturing, Productivity Tools","Las Vegas, Nevada, United States","Fasteners is an online store that provides fasteners, safety equipment, material handling, vacuums, power tools, lawn and garden products.","388,549",,,,,,,,,,,,
Contractor Direct,https://www.crunchbase.com/organization/contractor-direct,1993-01-01,year,,,https://www.contractorsdirect.com,"E-Commerce, E-Commerce Platforms, Productivity Tools","Hamden, Connecticut, United States","Contractors Direct is an online shop that provides a wide range of shower installation products, tiles, stones, concrete, and masonry tools.","553,988","137,476","88,804.67",108.07%,322.74%,"1,450",1.67,9.18%,69.94%,2.46%,"442,929","-256,178",-36.64%
Newnex Technology,https://www.crunchbase.com/organization/newnex-technology,1993-01-01,year,11-50,,http://www.newnex.com/,"Communication Hardware, Information Technology, Manufacturing, Productivity Tools","Santa Clara, California, United States","Newnex Technology expertise in manufacturing USB, cables, connectors, controllers, repeaters and converters.","675,236","26,451","29,931",-31.67%,-91.04%,50,1.51,7.04%,74.7%,-7.39%,"1,297,622","309,887",31.37%
CWS Industries Inc,https://www.crunchbase.com/organization/cs-industries,1993-01-01,year,51-100,,http://www.csindustriesinc.com,"Industrial Manufacturing, Manufacturing, Product Design, Productivity Tools","Chino, California, United States",Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"810,413","1,300",,,,15,3,,0%,,"6,571,468",,
KB Cores,https://www.crunchbase.com/organization/kb-cores,1993-01-01,year,101-250,,https://www.kbcores.com,"Automotive, Productivity Tools, Sales, Waste Management","Kankakee, Illinois, United States","KB Cores sells a wide range of quality engines, transmission cores, and spare parts to the automotive sector.","819,063",,,,,,,,,,,,
Notoria Serwis,https://www.crunchbase.com/organization/notoria-serwis,1993-01-01,year,1-10,,http://www.notoria.pl,"Financial Services, Information Technology, Productivity Tools, Software","Warsaw, Mazowieckie, Poland",Notoria Serwis provides financial and quotation data and tools for stock market analysis.,"1,097,265","1,469",,,,61,6,,0%,,"6,245,257",,
Karlsborgs Plåtproduktion,https://www.crunchbase.com/organization/karlsborgs-plåtproduktion,1993-01-01,year,11-50,"Karlsborgs Pltproduktion consists of the production of sheet metal and pipe contract items. The company's core is its employees, combined with a level of automation that doesn't hinder single and brief series. At the production facility, laser cutting of pipes and sheet metal, punching, sheet metal and pipe bending, edge pressing, welding, and powder coating are all possible. To provide their customers with rapid delivery and rates, they stock the most common sheet metal dimensions. Sheet metal and pipes made of stainless, acid-proof, black sheet metal, aluzinc, galv, and coated aluminium are used in the main production.",https://karlsborgsplatproduktion.se,"Industrial, Manufacturing, Precious Metals, Productivity Tools","Karlsborg, Ostergotlands Lan, Sweden","Karlsborgs Plåtproduktion is a core manufacturing industry their services are workshop furnishings, Shop fittings etc.","1,208,291",,,,,,,,,,,,
PHS Datashred,https://www.crunchbase.com/organization/phs-datashred,1993-01-01,year,51-100,"PHS Datashred plc, a shredding services company, provides on-site and off-site confidential data destruction services for businesses and organizations in the United Kingdom. Its shredding services include one off shred service, document shredding, confidential shredding, industrial shredding, commercial shredding, office recycling, total waste management, IT recycling and reuse, hard drive destruction, product destruction, media destruction, records management, disposal of redundant IT equipment, waste recycling and disposal, and full audit trail and management reporting services. The company serves large corporate businesses, public sector organizations, financial sector, legal sector, schools and education, medical sector, retail sector, and telecom industries. PHS Datashred plc was formerly known as Securishred Ltd. and changed its name to PHS Datashred plc in November 2004. The company was incorporated in 1993 and is based in Crayford, United Kingdom. PHS Datashred plc operates as a subsidiary of PHS Group plc.",http://www.shredding.info,"Office Administration, Productivity Tools","Crayford, Kent, United Kingdom",PHS Datashred is a shredding services company that provides on-site and off-site confidential data destruction services.,"1,373,493",,,,,,,,,,,,
Mesa,https://www.crunchbase.com/organization/mesa-dc78,1993-01-01,day,11-50,,http://www.mesadist.com,"Electronics, Manufacturing, Productivity Tools, Wholesale","Fort Worth, Texas, United States","Mesa specializes in the distribution of apparel decorating equipment like DTG printers, embroidery machines, and rhinestone machines.","1,411,703",,,,,,,,,,,,
Syntace,https://www.crunchbase.com/organization/syntace,1993-01-01,year,,"syntace offers services like wheelsets, wheelsets, rims, hubs, stems, handlebar, seatposts, pedals, screw, liteville, tools, pastes or adhesives, and articles.They also have online shopping .",https://www.syntace.com/de,"Electric Vehicle, Industrial Automation, Productivity Tools","Tacherting, Bayern, Germany","Syntace is a provider of pedals, tools, and accessories for vehicles.","1,641,541",,,,,,,,,,,,
Nordpipe Composite Engineering,https://www.crunchbase.com/organization/nordpipe-composite-engineering,1993-01-01,year,51-100,,https://nce.fi/,"Building Material, Manufacturing, Plastics and Rubber Manufacturing, Productivity Tools","Jakobstad, Western Finland, Finland","Nordpipe Composite Engineering is a manufacturing company that offers reactors, tanks, pipes, fittings, filter casings, and duct products.","1,654,556",,,,,,,,,,,,
